unity_time;FPS
39.800;193.18
39.900;194.62
40.000;196.45
40.100;189.50
40.200;194.07
40.300;199.14
40.400;187.69
40.500;180.06
40.600;171.71
40.700;173.70
40.800;167.15
40.900;175.58
41.000;167.80
41.100;184.72
41.200;189.04
41.300;193.59
41.400;190.94
41.500;181.25
41.600;193.82
41.700;195.05
41.800;198.27
41.900;192.22
42.000;192.16
42.100;198.30
42.200;198.52
42.300;200.27
42.400;195.83
42.500;203.62
42.600;201.65
42.700;199.07
42.800;210.86
42.900;203.48
43.000;203.53
43.100;197.21
43.200;193.00
43.300;210.21
43.400;200.44
43.500;204.06
43.600;198.62
43.700;204.87
43.800;201.37
43.900;196.37
44.000;202.40
44.100;194.68
44.200;191.83
44.300;188.28
44.400;188.08
44.500;192.95
44.600;192.55
44.700;191.48
44.800;198.02
44.900;194.82
45.000;181.32
45.100;182.87
45.200;175.30
45.300;162.26
45.400;168.58
45.500;164.44
45.600;161.13
45.700;182.96
45.800;191.72
45.900;185.33
46.000;186.63
46.100;191.56
46.200;186.13
46.300;192.39
46.400;191.07
46.500;189.46
46.600;189.67
46.700;190.30
46.800;183.34
46.900;163.89
47.000;170.75
47.100;188.24
47.200;184.78
47.300;185.68
47.400;180.69
47.500;191.19
47.600;192.01
47.700;194.40
47.800;195.14
47.900;189.58
48.000;184.54
48.100;177.46
48.200;182.41
48.300;183.28
48.400;182.75
48.500;194.39
48.600;166.78
48.700;155.30
48.800;162.03
48.900;165.89
49.000;184.67
49.100;193.84
49.200;192.97
49.300;193.35
49.400;175.38
49.500;176.06
49.600;185.26
49.700;183.93
49.800;177.87
49.900;169.86
50.000;169.22
50.100;179.15
50.200;176.91
50.300;192.51
50.400;193.80
50.500;196.20
50.600;193.93
50.700;179.27
50.800;169.22
50.900;168.96
51.000;180.66
51.100;182.78
51.200;196.85
51.300;199.17
51.400;196.23
51.500;208.80
51.600;207.25
51.700;204.30
51.800;207.34
51.900;204.08
52.000;193.67
52.100;202.24
52.200;197.32
52.300;196.55
52.400;191.95
52.500;202.28
52.600;203.76
52.700;194.49
52.800;201.00
52.900;189.71
53.000;170.49
53.100;184.47
53.200;180.18
53.300;200.68
53.400;205.54
53.500;207.85
53.600;204.24
53.700;209.48
53.800;204.48
53.900;197.39
54.000;185.45
54.100;200.71
54.200;207.89
54.300;195.38
54.400;183.99
54.500;177.78
54.600;182.80
54.700;172.22
54.800;177.78
54.900;184.29
55.000;185.38
55.100;201.23
55.200;202.70
55.300;183.85
55.400;187.28
55.500;166.99
55.600;180.96
55.700;187.41
55.800;173.69
55.900;157.72
56.000;191.92
56.100;194.91
56.200;196.25
56.300;202.99
56.400;193.65
56.500;184.44
56.600;174.57
56.700;175.56
56.800;179.94
56.900;183.83
57.000;167.63
57.100;187.16
57.200;185.97
57.300;186.26
57.400;186.97
57.500;180.81
57.600;177.76
