Time(s);RTF
39.80;0.99
39.90;1.00
40.00;1.00
40.10;1.01
40.20;0.99
40.30;1.01
40.40;0.99
40.50;1.02
40.60;0.99
40.70;0.98
40.80;0.99
40.90;1.03
41.00;0.99
41.10;1.01
41.20;1.00
41.30;1.00
41.40;0.99
41.50;1.02
41.60;0.98
41.70;1.03
41.80;1.00
41.90;1.00
42.00;0.99
42.10;1.01
42.20;1.01
42.30;0.99
42.40;1.00
42.50;1.00
42.60;1.00
42.70;1.00
42.80;1.00
42.90;1.00
43.00;0.99
43.10;1.00
43.20;1.00
43.30;0.99
43.40;1.01
43.50;1.00
43.60;1.01
43.70;1.00
43.80;1.00
43.90;0.99
44.00;1.01
44.10;0.97
44.20;1.03
44.30;1.00
44.40;1.00
44.50;1.00
44.60;1.00
44.70;1.00
44.80;1.01
44.90;0.99
45.00;0.99
45.10;1.00
45.20;1.00
45.30;0.99
45.40;1.00
45.50;1.00
45.60;0.99
45.70;1.03
45.80;1.00
45.90;1.00
46.00;1.00
46.10;1.01
46.20;0.98
46.30;1.01
46.40;0.99
46.50;1.01
46.60;0.99
46.70;1.00
46.80;1.01
46.90;0.97
47.00;1.00
47.10;1.04
47.20;0.99
47.30;1.00
47.40;0.98
47.50;1.00
47.60;1.01
47.70;1.00
47.80;1.01
47.90;0.98
48.00;0.99
48.10;1.01
48.20;1.00
48.30;1.01
48.40;1.00
48.50;1.00
48.60;0.98
48.70;0.97
48.80;1.03
48.90;1.00
49.00;1.01
49.10;1.00
49.20;1.00
49.30;1.00
49.40;0.99
49.50;1.00
49.60;1.01
49.70;1.00
49.80;0.98
49.90;1.01
50.00;0.98
50.10;1.02
50.20;1.00
50.30;1.02
50.40;0.99
50.50;1.01
50.60;0.99
50.70;1.00
50.80;0.97
50.90;1.02
51.00;0.97
51.10;1.03
51.20;1.01
51.30;1.01
51.40;0.99
51.50;1.02
51.60;0.98
51.70;1.00
51.80;1.00
51.90;0.98
52.00;1.02
52.10;1.01
52.20;0.99
52.30;1.02
52.40;0.95
52.50;1.05
52.60;0.99
52.70;1.00
52.80;1.00
52.90;0.99
53.00;0.97
53.10;1.02
53.20;1.00
53.30;1.03
53.40;1.00
53.50;1.01
53.60;1.00
53.70;0.99
53.80;1.02
53.90;0.98
54.00;0.98
54.10;1.02
54.20;1.01
54.30;0.97
54.40;1.01
54.50;1.00
54.60;1.01
54.70;1.00
54.80;0.98
54.90;1.02
55.00;0.97
55.10;1.03
55.20;1.00
55.30;1.01
55.40;0.98
55.50;1.02
55.60;0.99
55.70;1.01
55.80;1.03
55.90;0.97
56.00;1.00
56.10;1.00
56.20;1.02
56.30;1.01
56.40;0.99
56.50;1.00
56.60;0.99
56.70;1.00
56.80;0.99
56.90;1.00
57.00;1.00
57.10;1.00
57.20;1.03
57.30;0.96
57.40;1.03
57.50;1.00
57.60;1.00
57.70;0.99
57.80;1.03
57.90;0.99
58.00;1.01
58.10;1.00
58.20;1.00
58.30;1.00
58.40;0.97
58.50;1.03
58.60;1.00
58.70;0.99
58.80;1.01
58.90;0.96
59.00;1.01
59.10;1.05
59.20;1.03
59.30;0.92
