Time(s);RTF
39.80;1.00
39.90;1.01
40.00;0.95
40.10;1.01
40.20;0.99
40.30;1.00
40.40;1.00
40.50;0.99
40.60;1.00
40.70;1.03
40.80;0.99
40.90;1.00
41.00;1.03
41.10;1.02
41.20;0.98
41.30;1.00
41.40;1.00
41.50;1.01
41.60;1.00
41.70;1.02
41.80;0.97
41.90;0.99
42.00;1.03
42.10;1.00
42.20;0.99
42.30;1.00
42.40;0.98
42.50;1.03
42.60;1.01
42.70;0.99
42.80;0.99
42.90;1.03
43.00;0.99
43.10;1.01
43.20;1.01
43.30;0.98
43.40;1.00
43.50;0.99
43.60;1.02
43.70;0.98
43.80;0.99
43.90;1.02
44.00;1.00
44.10;1.00
44.20;1.00
44.30;0.99
44.40;0.96
44.50;1.06
44.60;0.96
44.70;1.01
44.80;0.99
44.90;1.02
45.00;1.00
45.10;1.01
45.20;1.02
45.30;0.97
45.40;1.00
45.50;1.02
45.60;0.95
45.70;1.03
45.80;0.97
45.90;1.06
46.00;1.05
46.10;0.85
46.20;1.09
46.30;0.98
46.40;1.07
46.50;0.96
46.60;1.10
46.70;0.93
46.80;1.00
46.90;0.93
47.00;1.08
47.10;0.98
47.20;0.84
47.30;1.26
47.40;0.83
47.50;1.13
47.60;1.04
47.70;1.05
47.80;0.93
47.90;1.03
48.00;1.06
48.10;1.08
48.20;0.90
48.30;0.96
48.40;1.06
48.50;1.04
48.60;0.92
48.70;1.04
48.80;0.96
48.90;1.02
49.00;1.03
49.10;1.10
49.20;0.94
49.30;0.96
49.40;1.00
49.50;1.00
49.60;1.00
49.70;0.95
49.80;0.97
49.90;1.07
50.00;1.09
50.10;0.92
50.20;0.99
50.30;1.08
50.40;1.00
50.50;0.95
50.60;1.02
50.70;1.09
50.80;0.97
50.90;1.04
51.00;0.86
51.10;1.05
51.20;1.00
51.30;1.03
51.40;0.98
51.50;1.00
51.60;1.06
51.70;0.95
51.80;1.01
51.90;0.99
52.00;1.00
52.10;0.97
52.20;1.05
52.30;0.98
52.40;1.02
52.50;0.96
52.60;1.12
52.70;0.98
52.80;1.06
52.90;0.90
53.00;1.03
53.10;1.00
53.20;0.98
53.30;1.10
53.40;0.97
53.50;1.04
53.60;0.99
53.70;1.01
53.80;0.98
53.90;0.98
54.00;0.99
54.10;1.04
54.20;1.00
54.30;1.01
54.40;0.99
54.50;1.00
54.60;1.00
54.70;1.00
54.80;0.99
54.90;1.01
55.00;0.93
55.10;1.01
55.20;1.02
55.30;0.97
55.40;1.04
55.50;1.00
55.60;0.97
55.70;1.01
55.80;1.01
55.90;0.98
56.00;1.05
56.10;0.86
56.20;1.17
56.30;0.95
56.40;1.06
56.50;0.91
56.60;1.08
56.70;0.98
56.80;1.00
56.90;1.07
57.00;0.97
57.10;1.05
57.20;0.99
57.30;1.00
57.40;1.02
