unity_time;FPS
39.800;88.38
39.900;87.43
40.000;90.65
40.100;99.64
40.200;105.15
40.300;98.57
40.400;97.37
40.500;96.68
40.600;100.65
40.700;113.66
40.800;129.34
40.900;131.81
41.000;133.92
41.100;123.10
41.200;128.85
41.300;116.37
41.400;115.24
41.500;128.51
41.600;131.87
41.700;130.44
41.800;132.20
41.900;133.58
42.000;123.84
42.100;124.94
42.200;126.88
42.300;121.71
42.400;126.25
42.500;127.67
42.600;135.81
42.700;122.65
42.800;119.52
42.900;118.35
43.000;125.54
43.100;131.66
43.200;134.58
43.300;134.85
43.400;128.73
43.500;132.69
43.600;131.67
43.700;135.39
43.800;137.63
43.900;133.16
44.000;128.38
44.100;128.55
44.200;131.55
44.300;128.60
44.400;114.07
44.500;114.59
44.600;116.40
44.700;107.25
44.800;104.53
44.900;102.69
45.000;111.68
45.100;128.43
45.200;121.69
45.300;129.74
45.400;111.44
45.500;125.25
45.600;92.44
45.700;115.18
45.800;127.72
45.900;139.84
46.000;146.03
46.100;151.16
46.200;132.02
46.300;122.72
46.400;135.19
46.500;135.89
46.600;135.41
46.700;132.89
46.800;135.70
46.900;137.11
47.000;143.48
47.100;144.31
47.200;142.25
47.300;141.54
47.400;152.01
47.500;152.01
47.600;152.01
47.700;152.01
47.800;136.98
47.900;124.06
48.000;95.58
48.100;109.11
48.200;124.90
48.300;136.60
48.400;135.21
48.500;124.54
48.600;122.36
48.700;117.49
48.800;117.90
48.900;115.04
49.000;127.48
49.100;143.28
49.200;137.46
49.300;134.60
49.400;138.45
49.500;133.32
49.600;129.53
49.700;127.26
49.800;130.73
49.900;142.77
50.000;140.51
50.100;139.70
50.200;138.28
50.300;142.27
50.400;145.53
50.500;142.97
50.600;135.13
50.700;138.97
50.800;145.06
50.900;145.08
51.000;144.78
51.100;155.92
51.200;167.78
51.300;168.23
51.400;167.32
51.500;154.52
51.600;149.11
51.700;152.35
51.800;151.72
51.900;145.63
52.000;150.36
52.100;145.90
52.200;147.32
52.300;145.45
52.400;145.32
52.500;142.96
52.600;131.45
52.700;134.16
52.800;134.36
52.900;139.88
53.000;125.55
53.100;112.17
53.200;102.93
53.300;135.24
53.400;141.70
53.500;145.46
53.600;140.53
53.700;154.70
53.800;166.37
53.900;169.18
54.000;167.71
54.100;167.47
54.200;162.37
54.300;158.54
54.400;162.39
54.500;152.19
54.600;157.16
54.700;164.03
54.800;169.26
54.900;166.93
55.000;158.81
55.100;162.34
55.200;165.56
55.300;155.85
55.400;160.47
55.500;165.98
55.600;163.50
55.700;151.70
55.800;138.27
55.900;135.98
56.000;112.90
56.100;123.70
56.200;140.38
56.300;154.54
56.400;156.06
56.500;151.63
56.600;154.66
56.700;158.10
56.800;157.27
56.900;134.12
57.000;124.75
57.100;148.31
57.200;137.70
57.300;158.12
57.400;162.14
57.500;165.67
57.600;159.76
57.700;156.87
57.800;141.44
57.900;152.81
58.000;146.94
58.100;152.58
58.200;155.67
58.300;154.00
58.400;149.40
58.500;155.56
58.600;149.13
58.700;149.57
58.800;165.20
58.900;162.11
59.000;173.96
59.100;154.36
59.200;163.43
59.300;165.46
59.400;160.50
59.500;155.89
59.600;159.90
59.700;166.22
59.800;156.36
59.900;170.18
60.000;131.82
